,eci1,eci2,eci3,gdp_pc,population,res_exp1_to_gdp,res_exp2_to_gdp,res_exp3_to_gdp,oil_rents,res_rents,oil_prod_pc,map,code,year,T,t
0,,,,,15985.18258134956,,,,,,,ABW1960,ABW,1960,12,1
1,,,,,16280.982633731335,,,,,,,ABW1965,ABW,1965,12,2
2,,,,,15863.412420956976,,,,,,,ABW1970,ABW,1970,12,3
3,,,,,13291.9316263532,,,,,,,ABW1975,ABW,1975,12,4
4,,,,,9668.204911671814,,,,,,,ABW1980,ABW,1980,12,5
5,-0.8440097673119802,-0.7886191796302179,-0.8167767395146104,-1984.4735171081109,2731.900135465949,-0.3925995335681384,-0.3951417674199677,-0.4034327554028,0.0,0.0005931079220460141,-6.836956195847355e-06,ABW1985,ABW,1985,12,6
6,0.16068530151355107,0.2221531543977675,0.32672658349723677,-293.325212648015,-960.5314086336241,-0.23148771668217852,-0.23421760816393403,-0.2470853268671683,0.0,0.0012147160815509756,-1.2561428414790665e-05,ABW1990,ABW,1990,12,7
7,0.295373991030442,0.1663583959519459,0.07247576862132846,26.702489364698575,4370.331719223441,-0.11961735219377813,-0.11571662027737906,-0.12347555251313798,0.0,0.0008525678810053439,-2.184829261196419e-05,ABW1995,ABW,1995,12,8
8,-0.12028904079744218,-0.11519381310742936,-0.07081367870607243,-539.9600992930551,4007.134127550381,-0.27904889056614096,-0.2775002992669439,-0.2907298121239743,0.0,0.00022946195144000684,-1.985344038952696e-06,ABW2000,ABW,2000,12,9
9,-0.09606151471941271,-0.05932193174374904,-0.09452646304569974,-880.1423009904782,-5233.246052977287,0.22336711042655824,0.22284977347021107,0.2152483514238095,0.0,-0.0008364901699571789,4.478442675687469e-06,ABW2005,ABW,2005,12,10
10,0.5539794025722232,0.6155549081937453,0.6684976230786076,-13072.730787866256,-53165.6297392692,0.06053078954184075,0.05731126801036421,0.06567224166686084,0.0,-0.0019009467914467195,4.380504033966557e-06,ABW2010,ABW,2010,12,11
11,,,,,,,,,,,,ABW2015,ABW,2015,12,12
12,-0.5430785249843404,-0.4613043137326465,-0.6301796478511629,59.528590607366034,8210213.156103396,4.8078331522466634e-05,0.0004852112518140036,0.00475165886093994,,,,AFG1960,AFG,1960,12,1
13,-0.5810928898088189,-0.5207644823833892,-0.7381569598662828,114.38379135156397,9001059.386315536,0.001561434689058288,0.0019273704446679096,0.0060144093874716685,,,,AFG1965,AFG,1965,12,2
14,-0.6783674067073318,-0.6545469286426474,-0.9261495878859317,131.95362482730673,10009315.734252961,0.009349216553375665,0.00985490236388622,0.012433157998483699,0.05433963070235067,0.5314760253336385,,AFG1970,AFG,1970,12,3
15,-0.43137159667217545,-0.42969026849727027,-0.8480640587665931,191.10869144670664,10901814.420119382,0.005826018073390437,0.006452262337347208,0.008690623615701878,0.5870467309576827,1.5347864216167926,,AFG1975,AFG,1975,12,4
16,-0.5771448759375118,-0.5189925344272183,-0.6315382793253402,221.55389963992107,10392885.342724567,0.0,0.0003503118919537369,0.0015331528041313922,1.140249601145179,1.886886690295999,0.0,AFG1980,AFG,1980,12,5
17,-0.574976231910471,-0.4397522212189147,-0.5605727510627999,,9237888.346024487,,,,,,0.0,AFG1985,AFG,1985,12,6
18,-0.269066930837977,-0.2564817987455546,-0.2729941121647558,,10724988.87044273,,,,,,0.0,AFG1990,AFG,1990,12,7
19,-0.3806124787320711,-0.3622557296537485,-0.2700730010216728,,13104675.660515672,,,,,,0.0,AFG1995,AFG,1995,12,8
20,-0.43945029905723637,-0.4487069438286265,-0.2755693074069179,129.24984692411132,14318513.978703694,0.0025859326803064665,0.003689435742311066,0.005325104361904609,0.017592506009746347,0.4933328675613138,0.0,AFG2000,AFG,2000,12,9
21,-0.16695644212150532,-0.26988295580332305,-0.2333142494530686,184.82118346215083,14466076.987829443,8.841131426998241e-05,0.002597749589594529,0.003916601796577622,0.00918525030323213,0.2549985118924345,0.0,AFG2005,AFG,2005,12,10
22,-0.3666605591865783,-0.37201518035924763,-0.39196697144910975,217.19701708057235,10868120.352493947,1.980789352749112e-05,0.0020692095284045435,0.0026093837718237033,0.009130017367772157,0.22149283456666102,0.0,AFG2010,AFG,2010,12,11
23,,,,,,,,,,,,AFG2015,AFG,2015,12,12
24,-0.6814628585054532,-0.6854225064558079,-0.8350701634689621,,5149299.177050503,,,,,,,AGO1960,AGO,1960,12,1
25,-0.7104351942110255,-0.6914140781786784,-0.8783723167666897,,5563798.668278001,,,,,,,AGO1965,AGO,1965,12,2
26,-0.6671890426761738,-0.5550307430196134,-0.7820549341099458,,6070757.960886271,,,,,,,AGO1970,AGO,1970,12,3
27,-0.6597616436750636,-0.7190575125169206,-0.7746070509905232,,6827132.859113617,,,,,,,AGO1975,AGO,1975,12,4
28,-0.42103989009471426,-0.4918262198994834,0.6930593172708256,494.82498592110176,7851824.108441537,0.1854541889477125,0.1856468277375274,0.19515335464658165,9.369578769354654,10.40720045871305,1.3366329262280246e-05,AGO1980,AGO,1980,12,5
29,-0.8404541188809207,-0.7800299182462547,-0.8797313198964329,587.9141487035902,8902085.93637218,0.19931386325928763,0.2074202870749424,0.21015795259223316,11.808591029446452,12.510637510308822,2.4927499829716276e-05,AGO1985,AGO,1985,12,6
30,-0.35183336441697777,-0.32981197992582223,-0.3401216087272462,480.61178452473445,9880042.68922037,0.3321970628704412,0.34722171342869657,0.34798715985656714,21.12880957477608,22.41213767877415,2.979974176495301e-05,AGO1990,AGO,1990,12,7
31,-0.6229829108301521,-0.4286819401204667,-0.560619448085889,316.7104264070246,10803870.903339865,0.40942617383409424,0.4435549201462502,0.4444558439460522,24.135131871964386,25.838569169507455,3.360071138220363e-05,AGO1995,AGO,1995,12,8
32,-0.42862851981532013,-0.4981027064120313,-0.6276820091773585,542.7720267011981,11440099.108762452,0.37234012692070756,0.39548720520896713,0.3959714355587092,22.886318491247902,23.708160360152608,3.189409927680437e-05,AGO2000,AGO,2000,12,9
33,-0.2759656730919243,-0.3565217064404731,-0.37972205412339266,1608.076657429233,11444189.719889218,0.32390170186973805,0.3292748999629947,0.3319297199361442,24.17969088047712,24.45894756329495,4.255880072972781e-05,AGO2005,AGO,2005,12,10
34,-0.25701754482119193,-0.30396928047686517,-0.3005218151818801,1695.3141561084542,8881448.696421409,0.1835191976343184,0.18524448943922597,0.18846112102973972,11.756004412939742,11.909237879318813,2.5564114528029128e-05,AGO2010,AGO,2010,12,11
35,,,,,,,,,,,,AGO2015,AGO,2015,12,12
36,0.8139287479120263,1.0372571300830429,1.2400116449781382,,,,,,,,,AIA1985,AIA,1985,7,1
37,0.697136362936181,0.7016365839621002,0.71264365803716,,,,,,,,,AIA1990,AIA,1990,7,2
38,0.9201032658130636,0.8336900905788702,0.9758795409070379,,,,,,,,,AIA1995,AIA,1995,7,3
39,1.1692884436298796,1.1959529004373164,1.3410396231876585,,,,,,,,,AIA2000,AIA,2000,7,4
40,0.9855195604352385,1.006173486078771,0.8976807873133139,,,,,,,,,AIA2005,AIA,2005,7,5
41,0.6958878020088797,0.7494879027187155,0.6152073397357248,,,,,,,,,AIA2010,AIA,2010,7,6
42,,,,,,,,,,,,AIA2015,AIA,2015,7,7
43,-0.4276909808353723,-0.2682836359827178,-0.24550974327680952,,1501938.6428311768,,,,,,,ALB1960,ALB,1960,12,1
44,-0.27133749888467446,-0.12274263565605771,-0.15325665610050385,,1707379.1537520005,,,,,,,ALB1965,ALB,1965,12,2
45,-0.16141812761285965,-0.06757388488824019,-0.2389109017822715,,1914822.4826271527,,,,,,,ALB1970,ALB,1970,12,3
46,0.07020339985854951,0.15619820395732326,0.03656666690550952,,2105355.6113993493,,,,,,,ALB1975,ALB,1975,12,4
