,eci1,eci2,eci3,gdp_pc,population,res_exp1_to_gdp,res_exp2_to_gdp,res_exp3_to_gdp,oil_rents,res_rents,oil_prod_pc,map,code,year,T,t,eci1_hat_t1,eci1_t1,eci2_hat_t1,eci2_t2,eci3_hat_t1,eci3_t1
0,,,,,15985.18258134956,,,,,,,ABW1960,ABW,1960,12,1,,,,,,
1,,,,,16280.982633731335,,,,,,,ABW1965,ABW,1965,12,2,,,,,,
2,,,,,15863.412420956975,,,,,,,ABW1970,ABW,1970,12,3,,,,,,
3,,,,,13291.9316263532,,,,,,,ABW1975,ABW,1975,12,4,,,,,,
4,,,,,9668.204911671814,,,,,,,ABW1980,ABW,1980,12,5,,,,,,
5,,,,,,,,,,,,ABW2015,ABW,2015,12,12,,,,,,
6,,,,,,,,,,,,AFG2015,AFG,2015,12,12,,,,,,
7,,,,,,,,,,,,AGO2015,AGO,2015,12,12,,,,,,
8,,,,,,,,,,,,AIA2015,AIA,2015,7,7,,,,,,
9,,,,,,,,,,,,ALB2015,ALB,2015,12,12,,,,,,
10,,,,,,,,,,,,AND2015,AND,2015,12,12,,,,,,
11,,,,,,,,,,,,ANS2015,ANS,2015,11,11,,,,,,
12,,,,,,,,,,,,ANT2010,ANT,2010,10,10,,,,,,
13,,,,,85810293.51968847,,,,,,,ARB1960,ARB,1960,12,1,,,,,,
14,,,,198.36043335995572,97514817.70467612,,,,,,,ARB1965,ARB,1965,12,2,,,,,,
15,,,,354.80187638410086,110489692.50897336,,,,19.443867929778847,19.836456412768683,,ARB1970,ARB,1970,12,3,,,,,,
16,,,,950.3658427711338,126023808.27502318,,,,34.882520956800924,35.383110377523316,,ARB1975,ARB,1975,12,4,,,,,,
17,,,,1515.7729195649865,144520037.4168224,,,,27.031410349348448,27.379647490706983,,ARB1980,ARB,1980,12,5,,,,,,
18,,,,1196.0993116357456,162676451.24957982,,,,14.722007630339627,15.134895658148158,,ARB1985,ARB,1985,12,6,,,,,,
19,,,,1499.0352505423368,179428510.81572703,,,,15.670435946709993,16.019192265477034,,ARB1990,ARB,1990,12,7,,,,,,
20,,,,1583.2681984824612,190712802.853526,,,,12.675179513433688,13.112482446178214,,ARB1995,ARB,1995,12,8,,,,,,
21,,,,1739.5555052788905,192427228.54522616,,,,15.2451480639593,15.88718242740607,,ARB2000,ARB,2000,12,9,,,,,,
22,,,,2645.5744131419697,180681152.97778937,,,,17.489317668684837,18.475393781366428,,ARB2005,ARB,2005,12,10,,,,,,
23,,,,2489.497714473378,131978432.58326748,,,,10.632115813123065,11.421150836159944,,ARB2010,ARB,2010,12,11,,,,,,
24,,,,,,,,,,,,ARB2015,ARB,2015,12,12,,,,,,
25,,,,,,,,,,,,ARE2015,ARE,2015,12,12,,,,,,
26,,,,,,,,,,,,ARG2015,ARG,2015,12,12,,,,,,
27,,,,,1763657.48622698,,,,,,,ARM1960,ARM,1960,12,1,,,,,,
28,,,,,2026634.3134961482,,,,,,,ARM1965,ARM,1965,12,2,,,,,,
29,,,,,2262572.610280853,,,,,,,ARM1970,ARM,1970,12,3,,,,,,
30,,,,,2466091.949810756,,,,,,,ARM1975,ARM,1975,12,4,,,,,,
31,,,,,2613548.2926809243,,,,,,,ARM1980,ARM,1980,12,5,,,,,,
32,,,,,2733219.8006860027,,,,,,,ARM1985,ARM,1985,12,6,,,,,,
33,,,,,,,,,,,,ARM2015,ARM,2015,12,12,,,,,,
34,,,,,18640.403674803547,,,,,,,ASM1960,ASM,1960,12,1,,,,,,
35,,,,,21748.655017526376,,,,,,,ASM1965,ASM,1965,12,2,,,,,,
36,,,,,24282.839222888244,,,,,,,ASM1970,ASM,1970,12,3,,,,,,
37,,,,,25764.582656865787,,,,,,,ASM1975,ASM,1975,12,4,,,,,,
38,,,,,28571.108722536475,,,,,,0.0,ASM1980,ASM,1980,12,5,,,,,,
39,,,,,33673.61124489303,,,,,,0.0,ASM1985,ASM,1985,12,6,,,,,,
40,,,,,37660.3380379712,,,,,,0.0,ASM1990,ASM,1990,12,7,,,,,,
41,,,,,39270.219368815335,,,,,,0.0,ASM1995,ASM,1995,12,8,,,,,,
42,,,,,,,,,,,,ASM2015,ASM,2015,12,12,,,,,,
43,,,,,,,,,,,,ATA2015,ATA,2015,4,4,,,,,,
44,,,,,,,,,,,,ATF2015,ATF,2015,9,9,,,,,,
45,,,,,50279.204778231775,,,,,,,ATG1960,ATG,1960,12,1,,,,,,
46,,,,,,,,,,,,ATG2015,ATG,2015,12,12,,,,,,
47,,,,,,,,,,,,AUS2015,AUS,2015,12,12,,,,,,
48,,,,,,,,,,,,AUT2015,AUT,2015,12,12,,,,,,
49,,,,,3663092.7849685582,,,,,,,AZE1960,AZE,1960,12,1,,,,,,
50,,,,,4193531.294998373,,,,,,,AZE1965,AZE,1965,12,2,,,,,,
51,,,,,4595571.123639472,,,,,,,AZE1970,AZE,1970,12,3,,,,,,
52,,,,,4913932.2898499565,,,,,,,AZE1975,AZE,1975,12,4,,,,,,
53,,,,,5198914.5856221765,,,,,,,AZE1980,AZE,1980,12,5,,,,,,
54,,,,,5471678.526344587,,,,,,,AZE1985,AZE,1985,12,6,,,,,,
55,,,,,,,,,,,,AZE2015,AZE,2015,12,12,,,,,,
56,,,,,,,,,,,,BDI2015,BDI,2015,12,12,,,,,,
57,,,,,,,,,,,,BEL2015,BEL,2015,12,12,,,,,,
58,,,,,,,,,,,,BEN2015,BEN,2015,12,12,,,,,,
59,,,,,,,,,,,,BES2015,BES,2015,1,1,,,,,,
60,,,,,,,,,,,,BFA2015,BFA,2015,12,12,,,,,,
61,,,,85.3374745037843,44844708.61854925,,,,,,,BGD1960,BGD,1960,12,1,,,,,,
62,,,,103.01109919728687,51681930.67439152,,,,,,,BGD1965,BGD,1965,12,2,,,,,,
63,,,,,,,,,,,,BGD2015,BGD,2015,12,12,,,,,,
64,,,,,,,,,,,,BGR2015,BGR,2015,12,12,,,,,,
65,,,,,,,,,,,,BHR2015,BHR,2015,12,12,,,,,,
66,,,,,,,,,,,,BHS2015,BHS,2015,12,12,,,,,,
67,,,,,2942567.8823180306,,,,,,,BIH1960,BIH,1960,12,1,,,,,,
68,,,,,3146055.734241656,,,,,,,BIH1965,BIH,1965,12,2,,,,,,
69,,,,,3288287.5121871238,,,,,,,BIH1970,BIH,1970,12,3,,,,,,
70,,,,,3404626.4209061586,,,,,,,BIH1975,BIH,1975,12,4,,,,,,
71,,,,,3491099.5448630564,,,,,,,BIH1980,BIH,1980,12,5,,,,,,
72,,,,,3542589.031517032,,,,,,,BIH1985,BIH,1985,12,6,,,,,,
73,,,,,,,,,,,,BIH2015,BIH,2015,12,12,,,,,,
74,,,,,,,,,,,,BLM2015,BLM,2015,1,1,,,,,,
75,,,,,7334028.876632327,,,,,,,BLR1960,BLR,1960,12,1,,,,,,
76,,,,,7615045.665052935,,,,,,,BLR1965,BLR,1965,12,2,,,,,,
77,,,,,7841334.210570136,,,,,,,BLR1970,BLR,1970,12,3,,,,,,
78,,,,,7936356.998917456,,,,,,,BLR1975,BLR,1975,12,4,,,,,,
79,,,,,8001861.716637416,,,,,,,BLR1980,BLR,1980,12,5,,,,,,
80,,,,,8005275.430701894,,,,,,,BLR1985,BLR,1985,12,6,,,,,,
81,,,,,,,,,,,,BLR2015,BLR,2015,12,12,,,,,,
82,,,,,,,,,,,,BLZ2015,BLZ,2015,12,12,,,,,,
83,,,,,,,,,,,,BMU2015,BMU,2015,12,12,,,,,,
84,,,,,,,,,,,,BOL2015,BOL,2015,12,12,,,,,,
85,,,,,,,,,,,,BRA2015,BRA,2015,12,12,,,,,,
86,,,,,,,,,,,,BRB2015,BRB,2015,12,12,,,,,,
