,gdp_cons,map
0,,ABW1960
1,,ABW1961
2,,ABW1962
3,,ABW1963
4,,ABW1964
5,,ABW1965
6,,ABW1966
7,,ABW1967
8,,ABW1968
9,,ABW1969
10,,ABW1970
11,,ABW1971
12,,ABW1972
13,,ABW1973
14,,ABW1974
15,,ABW1975
16,,ABW1976
17,,ABW1977
18,,ABW1978
19,,ABW1979
20,,ABW1980
21,,ABW1981
22,,ABW1982
23,,ABW1983
24,,ABW1984
25,,ABW1985
26,981607427.198877,ABW1986
27,1139434503.72889,ABW1987
28,1351923640.91077,ABW1988
29,1515909822.86634,ABW1989
30,1575961100.76557,ABW1990
31,1701452873.81139,ABW1991
32,1801538336.9767601,ABW1992
33,1933189215.44814,ABW1993
34,2091786180.15635,ABW1994
35,2145066958.3561,ABW1995
36,2170502947.57596,ABW1996
37,2323455516.53157,ABW1997
38,2369738480.01402,ABW1998
39,2399076773.30305,ABW1999
40,2581804607.81403,ABW2000
41,2505092558.00282,ABW2001
42,2423084673.45471,ABW2002
43,2470953856.9732,ABW2003
44,2666444969.3824,ABW2004
45,2698824912.71875,ABW2005
46,2727178946.35418,ABW2006
47,2776274326.82278,ABW2007
48,2773756030.74943,ABW2008
49,2481963897.09079,ABW2009
50,2390502793.2960896,ABW2010
51,2472880828.36298,ABW2011
52,2439005748.52239,ABW2012
53,2541400876.22235,ABW2013
54,2562957745.21181,ABW2014
55,2551409422.53889,ABW2015
56,2546020205.29152,ABW2016
57,2579895285.13211,ABW2017
58,,ABW2018
59,,AFG1960
60,,AFG1961
61,,AFG1962
62,,AFG1963
63,,AFG1964
64,,AFG1965
65,,AFG1966
66,,AFG1967
67,,AFG1968
68,,AFG1969
69,,AFG1970
70,,AFG1971
71,,AFG1972
72,,AFG1973
73,,AFG1974
74,,AFG1975
75,,AFG1976
76,,AFG1977
77,,AFG1978
78,,AFG1979
79,,AFG1980
80,,AFG1981
81,,AFG1982
82,,AFG1983
83,,AFG1984
84,,AFG1985
85,,AFG1986
86,,AFG1987
87,,AFG1988
88,,AFG1989
89,,AFG1990
90,,AFG1991
91,,AFG1992
92,,AFG1993
93,,AFG1994
94,,AFG1995
95,,AFG1996
96,,AFG1997
97,,AFG1998
98,,AFG1999
99,,AFG2000
100,,AFG2001
101,7465114629.457829,AFG2002
102,8124454291.89637,AFG2003
103,8239343660.832759,AFG2004
104,9164598458.53793,AFG2005
105,9655582953.98019,AFG2006
106,10990594706.5564,AFG2007
107,11421973770.8233,AFG2008
108,13865194314.7185,AFG2009
109,15856574731.4411,AFG2010
110,15924179997.7914,AFG2011
111,17954877146.6564,AFG2012
112,18960483969.8941,AFG2013
113,19477070577.8584,AFG2014
114,19759744157.4377,AFG2015
115,20206376461.4103,AFG2016
116,20744935406.0955,AFG2017
117,,AFG2018
118,,AGO1960
119,,AGO1961
120,,AGO1962
121,,AGO1963
122,,AGO1964
123,,AGO1965
124,,AGO1966
125,,AGO1967
126,,AGO1968
127,,AGO1969
128,,AGO1970
129,,AGO1971
130,,AGO1972
131,,AGO1973
132,,AGO1974
133,,AGO1975
134,,AGO1976
135,,AGO1977
136,,AGO1978
137,,AGO1979
138,26521449164.7599,AGO1980
139,25354505078.1181,AGO1981
140,25354505078.1181,AGO1982
141,26419394653.547997,AGO1983
142,28004558904.5751,AGO1984
143,28984718323.2816,AGO1985
144,29825275659.7594,AGO1986
145,31042966695.0871,AGO1987
146,32945556124.3923,AGO1988
147,32959268546.464,AGO1989
148,31822141256.2167,AGO1990
149,32137613010.4509,AGO1991
150,30261328943.3977,AGO1992
151,23003628103.4136,AGO1993
152,23311730287.4092,AGO1994
153,26808489836.7909,AGO1995
154,30439530825.3477,AGO1996
155,32653786720.2122,AGO1997
156,34185623674.9564,AGO1998
157,34931379545.117004,AGO1999
158,35998401929.8754,AGO2000
159,37512494194.4879,AGO2001
160,42638834053.5688,AGO2002
161,43913671240.4937,AGO2003
162,48723474948.0326,AGO2004
163,56046084738.6307,AGO2005
164,62518109040.705,AGO2006
165,71276907517.7744,AGO2007
166,79235785611.2942,AGO2008
167,79916193296.1949,AGO2009
168,83799496611.6049,AGO2010
169,86708999528.823,AGO2011
170,94115810020.6707,AGO2012
171,98778862980.2076,AGO2013
172,103542597665.68199,AGO2014
173,104519600366.385,AGO2015
174,101822893038.982,AGO2016
175,101673002182.77802,AGO2017
176,,AGO2018
177,,ALB1960
178,,ALB1961
179,,ALB1962
180,,ALB1963
181,,ALB1964
182,,ALB1965
183,,ALB1966
184,,ALB1967
185,,ALB1968
186,,ALB1969
187,,ALB1970
188,,ALB1971
189,,ALB1972
190,,ALB1973
191,,ALB1974
192,,ALB1975
193,,ALB1976
194,,ALB1977
195,,ALB1978
196,,ALB1979
197,5443185627.89309,ALB1980
198,5755931222.33876,ALB1981
199,5925650426.26114,ALB1982
200,5991125205.08301,ALB1983
201,5916140483.03651,ALB1984
202,6021485881.19936,ALB1985
203,6360931683.26667,ALB1986
204,6310817550.209661,ALB1987
205,6221201438.45319,ALB1988
206,6833152964.4986105,ALB1989
207,6178834824.38762,ALB1990
