,gdp,map
0,,ABW1960
1,,ABW1961
2,,ABW1962
3,,ABW1963
4,,ABW1964
5,,ABW1965
6,,ABW1966
7,,ABW1967
8,,ABW1968
9,,ABW1969
10,,ABW1970
11,,ABW1971
12,,ABW1972
13,,ABW1973
14,,ABW1974
15,,ABW1975
16,,ABW1976
17,,ABW1977
18,,ABW1978
19,,ABW1979
20,,ABW1980
21,,ABW1981
22,,ABW1982
23,,ABW1983
24,,ABW1984
25,,ABW1985
26,405463417.11746,ABW1986
27,487602457.74641603,ABW1987
28,596423607.114715,ABW1988
29,695304363.031101,ABW1989
30,764887117.194486,ABW1990
31,872138730.754587,ABW1991
32,958463200.2054019,ABW1992
33,1082979707.65566,ABW1993
34,1245688253.10539,ABW1994
35,1320474860.3352,ABW1995
36,1379960893.85475,ABW1996
37,1531944134.0782099,ABW1997
38,1665100558.65922,ABW1998
39,1722798882.68156,ABW1999
40,1873452513.96648,ABW2000
41,1920111731.84358,ABW2001
42,1941340782.1229103,ABW2002
43,2021229050.27933,ABW2003
44,2228491620.11173,ABW2004
45,2330726256.9832397,ABW2005
46,2424581005.58659,ABW2006
47,2615083798.88268,ABW2007
48,2745251396.64804,ABW2008
49,2498882681.56425,ABW2009
50,2390502793.2960896,ABW2010
51,2549720670.3910604,ABW2011
52,2534636871.50838,ABW2012
53,2581564245.81006,ABW2013
54,2649720670.3910604,ABW2014
55,2691620111.7318397,ABW2015
56,2646927374.30168,ABW2016
57,2700558659.2178802,ABW2017
58,,ABW2018
59,537777811.111111,AFG1960
60,548888895.5555559,AFG1961
61,546666677.777778,AFG1962
62,751111191.111111,AFG1963
63,800000044.4444441,AFG1964
64,1006666637.77778,AFG1965
65,1399999966.6666698,AFG1966
66,1673333417.77778,AFG1967
67,1373333366.6666698,AFG1968
68,1408888922.22222,AFG1969
69,1748886595.5555599,AFG1970
70,1831108971.1111102,AFG1971
71,1595555475.5555599,AFG1972
72,1733333264.4444401,AFG1973
73,2155555497.77778,AFG1974
74,2366666615.55556,AFG1975
75,2555555566.66667,AFG1976
76,2953333417.77778,AFG1977
77,3300000108.88889,AFG1978
78,3697940409.6109796,AFG1979
79,3641723321.99546,AFG1980
80,3478787909.09091,AFG1981
81,,AFG1982
82,,AFG1983
83,,AFG1984
84,,AFG1985
85,,AFG1986
86,,AFG1987
87,,AFG1988
88,,AFG1989
89,,AFG1990
90,,AFG1991
91,,AFG1992
92,,AFG1993
93,,AFG1994
94,,AFG1995
95,,AFG1996
96,,AFG1997
97,,AFG1998
98,,AFG1999
99,,AFG2000
100,,AFG2001
101,4055179566.34981,AFG2002
102,4515558808.10994,AFG2003
103,5226778808.89209,AFG2004
104,6209137624.771811,AFG2005
105,6971285594.68013,AFG2006
106,9747879531.86311,AFG2007
107,10109225813.6696,AFG2008
108,12439087076.7667,AFG2009
109,15856574731.4411,AFG2010
110,17804292964.1045,AFG2011
111,19907317065.6667,AFG2012
112,20561069558.2152,AFG2013
113,20484885119.7348,AFG2014
114,19907111418.9938,AFG2015
115,19046357714.4928,AFG2016
116,19543976895.4248,AFG2017
117,,AFG2018
118,,AGO1960
119,,AGO1961
120,,AGO1962
121,,AGO1963
122,,AGO1964
123,,AGO1965
124,,AGO1966
125,,AGO1967
126,,AGO1968
127,,AGO1969
128,,AGO1970
129,,AGO1971
130,,AGO1972
131,,AGO1973
132,,AGO1974
133,,AGO1975
134,,AGO1976
135,,AGO1977
136,,AGO1978
137,,AGO1979
138,5930503400.83228,AGO1980
139,5550483035.90815,AGO1981
140,5550483035.90815,AGO1982
141,5784341596.36339,AGO1983
142,6131475065.23832,AGO1984
143,7553560459.1042795,AGO1985
144,7072063345.44786,AGO1986
145,8083872012.473259,AGO1987
146,8769250549.73596,AGO1988
147,10201099039.5655,AGO1989
148,11228764963.1618,AGO1990
149,10603784541.196999,AGO1991
150,8307810973.58848,AGO1992
151,5768720421.61367,AGO1993
152,4438321017.390679,AGO1994
153,5538749259.94714,AGO1995
154,7526446605.51712,AGO1996
155,7648377412.83277,AGO1997
156,6506229607.29432,AGO1998
157,6152922942.98032,AGO1999
158,9129594818.60749,AGO2000
159,8936063723.20121,AGO2001
160,15285594828.418001,AGO2002
161,17812705294.417,AGO2003
162,23552052407.5488,AGO2004
163,36970918699.2523,AGO2005
164,52381006892.037994,AGO2006
165,65266452081.385994,AGO2007
166,88538611205.1433,AGO2008
167,70307163678.1895,AGO2009
168,83799496611.6049,AGO2010
169,111789686464.26,AGO2011
170,128052853643.44699,AGO2012
171,136709862831.30801,AGO2013
172,145712200312.505,AGO2014
173,116193649124.475,AGO2015
174,101123851090.473,AGO2016
175,122123822333.73,AGO2017
176,,AGO2018
177,,ALB1960
178,,ALB1961
179,,ALB1962
180,,ALB1963
181,,ALB1964
182,,ALB1965
183,,ALB1966
184,,ALB1967
185,,ALB1968
186,,ALB1969
187,,ALB1970
188,,ALB1971
189,,ALB1972
190,,ALB1973
191,,ALB1974
192,,ALB1975
193,,ALB1976
194,,ALB1977
195,,ALB1978
196,,ALB1979
197,,ALB1980
198,,ALB1981
