,map,gdp_pc
0,ABW1960,
1,ABW1961,
2,ABW1962,
3,ABW1963,
4,ABW1964,
5,ABW1965,
6,ABW1966,
7,ABW1967,
8,ABW1968,
9,ABW1969,
10,ABW1970,
11,ABW1971,
12,ABW1972,
13,ABW1973,
14,ABW1974,
15,ABW1975,
16,ABW1976,
17,ABW1977,
18,ABW1978,
19,ABW1979,
20,ABW1980,
21,ABW1981,
22,ABW1982,
23,ABW1983,
24,ABW1984,
25,ABW1985,
26,ABW1986,6472.50202920407
27,ABW1987,7885.79654466735
28,ABW1988,9764.789978793291
29,ABW1989,11392.455810576399
30,ABW1990,12307.311737831398
31,ABW1991,13496.0033851411
32,ABW1992,14046.5039965619
33,ABW1993,14936.827039276
34,ABW1994,16241.046324711699
35,ABW1995,16439.3563609282
36,ABW1996,16586.068435754198
37,ABW1997,17927.749635208602
38,ABW1998,19078.3431907515
39,ABW1999,19356.2033894901
40,ABW2000,20620.7006259175
41,ABW2001,20669.0319688645
42,ABW2002,20436.8871286309
43,ABW2003,20833.7616116694
44,ABW2004,22569.9749851801
45,ABW2005,23300.0395575696
46,ABW2006,24045.7494206858
47,ABW2007,25835.6431424885
48,ABW2008,27086.0398473459
49,ABW2009,24630.939268077298
50,ABW2010,23512.602595639702
51,ABW2011,24984.2794468664
52,ABW2012,24709.6022647219
53,ABW2013,25018.3089518065
54,ABW2014,25528.403780442797
55,ABW2015,25796.380250638198
56,ABW2016,25251.6396777554
57,ABW2017,25655.1020217537
58,ABW2018,
59,AFG1960,59.7773265083934
60,AFG1961,59.87815280894711
61,AFG1962,58.4928738323479
62,AFG1963,78.78275803628921
63,AFG1964,82.2084438594401
64,AFG1965,101.290471274167
65,AFG1966,137.899361896954
66,AFG1967,161.32200008848102
67,AFG1968,129.506653844251
68,AFG1969,129.798541408375
69,AFG1970,157.187422389233
70,AFG1971,160.372835554154
71,AFG1972,136.117014381199
72,AFG1973,144.110318929266
73,AFG1974,174.94203831954
74,AFG1975,187.975604013726
75,AFG1976,199.026172729051
76,AFG1977,226.005343759305
77,AFG1978,249.287386261794
78,AFG1979,277.900741665078
79,AFG1980,274.880858701521
80,AFG1981,266.49304180870496
81,AFG1982,
82,AFG1983,
83,AFG1984,
84,AFG1985,
85,AFG1986,
86,AFG1987,
87,AFG1988,
88,AFG1989,
89,AFG1990,
90,AFG1991,
91,AFG1992,
92,AFG1993,
93,AFG1994,
94,AFG1995,
95,AFG1996,
96,AFG1997,
97,AFG1998,
98,AFG1999,
99,AFG2000,
100,AFG2001,
101,AFG2002,184.49471212204898
102,AFG2003,195.77663034155103
103,AFG2004,216.708128851229
104,AFG2005,247.664139959638
105,AFG2006,269.22969301812304
106,AFG2007,366.230443242864
107,AFG2008,370.382293977374
108,AFG2009,444.18440407545
109,AFG2010,550.514973976336
110,AFG2011,599.29762975711
111,AFG2012,648.511069587633
112,AFG2013,647.966460473683
113,AFG2014,625.3395388284999
114,AFG2015,590.076473832575
115,AFG2016,549.582759921642
116,AFG2017,550.068458763852
117,AFG2018,
118,AGO1960,
119,AGO1961,
120,AGO1962,
121,AGO1963,
122,AGO1964,
123,AGO1965,
124,AGO1966,
125,AGO1967,
126,AGO1968,
127,AGO1969,
128,AGO1970,
129,AGO1971,
130,AGO1972,
131,AGO1973,
132,AGO1974,
133,AGO1975,
134,AGO1976,
135,AGO1977,
136,AGO1978,
137,AGO1979,
138,AGO1980,664.117560200257
139,AGO1981,600.408765541326
140,AGO1982,579.2520008971
141,AGO1983,582.420126498067
142,AGO1984,596.6024672420291
143,AGO1985,711.9927001047099
144,AGO1986,647.563353685906
145,AGO1987,720.598938487943
146,AGO1988,761.618457662551
147,AGO1989,862.509057657804
148,AGO1990,922.550169956192
149,AGO1991,844.691134306625
150,AGO1992,640.6222978790651
151,AGO1993,430.38159527887296
152,AGO1994,320.657792023357
153,AGO1995,388.166766342963
154,AGO1996,512.620965887672
155,AGO1997,506.884952193443
156,AGO1998,419.639845318854
157,AGO1999,385.768853472854
158,AGO2000,555.2969418633339
159,AGO2001,526.168742996854
160,AGO2002,869.851485021864
161,AGO2003,978.5389338872909
162,AGO2004,1248.40490589113
163,AGO2005,1890.8497268156898
164,AGO2006,2585.1335220492897
165,AGO2007,3108.26864317894
166,AGO2008,4068.97845646361
167,AGO2009,3117.89694392484
168,AGO2010,3585.90555256868
169,AGO2011,4615.86747457004
170,AGO2012,5102.4899693158895
171,AGO2013,5258.40737644433
172,AGO2014,5412.6923476178
173,AGO2015,4170.7303582941295
174,AGO2016,3509.6042114227303
175,AGO2017,4100.28978571722
176,AGO2018,
177,ALB1960,
178,ALB1961,
179,ALB1962,
180,ALB1963,
181,ALB1964,
182,ALB1965,
183,ALB1966,
184,ALB1967,
185,ALB1968,
186,ALB1969,
187,ALB1970,
188,ALB1971,
189,ALB1972,
190,ALB1973,
191,ALB1974,
192,ALB1975,
193,ALB1976,
194,ALB1977,
195,ALB1978,
196,ALB1979,
197,ALB1980,
198,ALB1981,
199,ALB1982,
200,ALB1983,
201,ALB1984,639.48473584821
