,map,res_exp3
0,ABW1988,94326.625
1,ABW1989,4994322.466918945
2,ABW1990,41154146.0
3,ABW1991,174583640.0
4,ABW1992,327148739.0
5,ABW1993,563605596.0
6,ABW1994,543818765.0
7,ABW1995,661995409.0
8,ABW1996,743439295.0
9,ABW1997,954027218.0
10,ABW1998,610449902.0
11,ABW1999,839695766.0
12,ABW2000,1043590385.0
13,ABW2001,756215669.0
14,ABW2002,516683388.0
15,ABW2003,624290989.0
16,ABW2004,1210310434.0
17,ABW2005,1921174590.0
18,ABW2006,2139547186.0
19,ABW2007,2257523265.0
20,ABW2008,2832133231.0
21,ABW2009,1055619518.0
22,ABW2010,172900915.0
23,ABW2011,2292846493.0
24,ABW2012,1010094551.0
25,ABW2013,324589906.0
26,ABW2014,312894799.0
27,ABW2015,219381358.0
28,ABW2016,84748839.0
29,AFG1962,3481111.0479736323
30,AFG1963,3992941.378051758
31,AFG1964,3646749.444274902
32,AFG1965,3177649.7092285156
33,AFG1966,7689193.5728759775
34,AFG1967,10917335.066009521
35,AFG1968,18313329.181274414
36,AFG1969,8714926.421081543
37,AFG1970,22167093.168151855
38,AFG1971,22502933.073760986
39,AFG1972,26890895.58468628
40,AFG1973,22688382.322509766
41,AFG1974,38589078.18338013
42,AFG1975,51536533.54199219
43,AFG1976,45750117.35021973
44,AFG1977,17281906.239624023
45,AFG1978,2802724.6107177734
46,AFG1979,20231150.143188477
47,AFG1980,3579913.315185547
48,AFG1981,9612863.953643799
49,AFG1982,17183457.179382324
50,AFG1983,2847902.539855957
51,AFG1984,3969465.6220703125
52,AFG1985,4250014.956787109
53,AFG1986,3585633.813720703
54,AFG1987,3028035.972290039
55,AFG1988,2356091.3325195312
56,AFG1989,2887002.6225585938
57,AFG1990,2660320.0
58,AFG1991,4449274.0
59,AFG1992,3137769.0
60,AFG1993,7555745.0
61,AFG1994,1932452.0
62,AFG1995,10063165.0
63,AFG1996,31887624.0
64,AFG1997,22002896.0
65,AFG1998,26385165.0
66,AFG1999,20840490.0
67,AFG2000,16460980.0
68,AFG2001,12359394.0
69,AFG2002,11156374.0
