,map,res_exp1,res_exp2,res_exp3
0,ABW1988,94326.625,94326.625,94326.625
1,ABW1989,3731782.6280517583,3974673.107543946,4994322.466918945
2,ABW1990,38994229.0,39038150.0,41154146.0
3,ABW1991,173382307.0,173636032.0,174583640.0
4,ABW1992,318490475.0,325867691.0,327148739.0
5,ABW1993,560055154.0,560430503.0,563605596.0
6,ABW1994,535675443.0,536106082.0,543818765.0
7,ABW1995,645595669.0,645844593.0,661995409.0
8,ABW1996,720848872.0,724393294.0,743439295.0
9,ABW1997,920069474.0,929373854.0,954027218.0
10,ABW1998,572014885.0,601950069.0,610449902.0
11,ABW1999,771350373.0,796748043.0,839695766.0
12,ABW2000,978411276.0,1001230987.0,1043590385.0
13,ABW2001,714902209.0,724288842.0,756215669.0
14,ABW2002,477044810.0,485725660.0,516683388.0
15,ABW2003,598668808.0,600692792.0,624290989.0
16,ABW2004,1184656259.0,1186334795.0,1210310434.0
17,ABW2005,1832766906.0,1837057373.0,1921174590.0
18,ABW2006,2061613428.0,2072122854.0,2139547186.0
19,ABW2007,2121013775.0,2131490992.0,2257523265.0
20,ABW2008,2772737168.0,2785274655.0,2832133231.0
21,ABW2009,1044006765.0,1048137586.0,1055619518.0
22,ABW2010,126732699.0,136399144.0,172900915.0
23,ABW2011,2124569627.0,2136352251.0,2292846493.0
24,ABW2012,804902731.0,813855639.0,1010094551.0
25,ABW2013,309712649.0,320265934.0,324589906.0
26,ABW2014,296718936.0,309022388.0,312894799.0
27,ABW2015,198030103.0,206275248.0,219381358.0
28,ABW2016,59511558.0,80549489.0,84748839.0
29,AFG1962,1917.9996337890625,224720.0174560547,3481111.0479736323
30,AFG1963,108505.7734375,420935.7436523437,3992941.378051758
31,AFG1964,13099.9931640625,549667.1197509766,3646749.444274902
32,AFG1965,4097.001953125,422472.61859130865,3177649.7092285156
33,AFG1966,3317.00048828125,638986.0034179688,7689193.5728759775
34,AFG1967,3796158.05078125,4182271.0467529297,10917335.066009521
35,AFG1968,9033999.0,9690333.064331055,18313329.181274414
36,AFG1969,216746.296875,967077.487487793,8714926.421081543
37,AFG1970,14904459.93737793,15301866.184143066,22167093.168151855
38,AFG1971,14540290.0,15170789.74697876,22502933.073760986
39,AFG1972,20177734.25,21055527.06515503,26890895.58468628
40,AFG1973,18536609.841064453,19633189.003112793,22688382.322509766
41,AFG1974,32217568.0,34819280.84561157,38589078.18338013
42,AFG1975,45504882.1015625,48015809.886535645,51536533.54199219
43,AFG1976,39685521.09375,40853537.498413086,45750117.35021973
44,AFG1977,8077.99951171875,3858342.9958496094,17281906.239624023
45,AFG1978,0.0,2274591.6232910156,2802724.6107177734
46,AFG1979,0.0,833257.0803833008,20231150.143188477
47,AFG1980,0.0,1807275.7874755862,3579913.315185547
48,AFG1981,0.0,1251419.8816833496,9612863.953643799
49,AFG1982,0.0,1244002.0513305664,17183457.179382324
50,AFG1983,0.0,1101830.4346313477,2847902.539855957
51,AFG1984,0.0,1248674.8307495117,3969465.6220703125
52,AFG1985,0.0,2130627.5505371094,4250014.956787109
53,AFG1986,0.0,768934.5476074219,3585633.813720703
54,AFG1987,1785.0,1280077.1335449219,3028035.972290039
55,AFG1988,412012.859375,1557639.1860351562,2356091.3325195312
56,AFG1989,0.0,1537068.887512207,2887002.6225585938
57,AFG1990,104489.0,1554943.0,2660320.0
58,AFG1991,14825.0,3200095.0,4449274.0
59,AFG1992,14723.0,2253211.0,3137769.0
60,AFG1993,0.0,6211891.0,7555745.0
61,AFG1994,0.0,572708.0,1932452.0
62,AFG1995,116712.0,4208390.0,10063165.0
63,AFG1996,22288131.0,24245131.0,31887624.0
64,AFG1997,819620.0,8406212.0,22002896.0
65,AFG1998,10101833.0,12373117.0,26385165.0
66,AFG1999,243520.0,1825598.0,20840490.0
67,AFG2000,397714.0,2878449.0,16460980.0
68,AFG2001,1540473.0,5733969.0,12359394.0
69,AFG2002,71785.0,4119618.0,11156374.0
70,AFG2003,47338947.0,53192858.0,64293981.0
71,AFG2004,7540623.0,22187558.0,39755609.0
72,AFG2005,593971.0,27960332.0,41271368.0
73,AFG2006,188763.0,15964928.0,41162816.0
74,AFG2007,8398.0,26124503.0,62599784.0
75,AFG2008,6362401.0,51198287.0,60095032.0
76,AFG2009,735703.0,115983678.0,137555466.0
77,AFG2010,2292459.0,44764038.0,64594414.0
78,AFG2011,319682.0,109079636.0,134023075.0
79,AFG2012,1733659.0,114027125.0,124068438.0
80,AFG2013,563932.0,115909026.0,148828044.0
81,AFG2014,63139.0,183302562.0,242343894.0
82,AFG2015,1274582.0,108744440.0,139983659.0
83,AFG2016,130704.0,106316242.0,181652999.0
84,AGO1962,2714759.890625,14067136.093856812,91316760.30039978
85,AGO1963,8110436.651489258,18942153.00680542,109569440.93051147
86,AGO1964,6243369.746032715,47161425.68469238,181896186.52868652
87,AGO1965,2811570.136779785,40379684.75250244,176444508.88311768
88,AGO1966,1065642.0000305176,53242606.84881591,186929350.8401489
89,AGO1967,1505529.0,54171080.05401612,204441448.82147217
90,AGO1968,862896.44921875,90106567.45758057,254975514.7213745
91,AGO1969,20323534.0,136109424.28042603,284100557.48526
92,AGO1970,64132719.37512207,231796916.41452026,386315911.9081726
93,AGO1971,89270568.43310547,251286553.69704437,414295920.1061859
94,AGO1972,141437280.01171875,294964180.74453735,461030651.6746063
95,AGO1973,176287394.36767578,355744528.47021484,599542091.5318604
96,AGO1974,458558729.0053711,756497848.62677,1060284971.102356
97,AGO1975,465441470.9959717,581575702.6539307,755901833.5171509
98,AGO1976,330767848.58349615,350614101.390503,519075776.8549805
99,AGO1977,301858458.3125,321381930.3125,418277836.1937256
100,AGO1978,191039661.99902344,264580739.51464844,439585201.8598633
101,AGO1979,490121324.9472656,491861629.7636719,599219174.4180908
102,AGO1980,747607722.1015625,748344645.5785522,872612571.7553711
103,AGO1981,1334723113.96875,1338894829.755127,1410491385.9677124
104,AGO1982,1144150800.0,1144976157.2382812,1207765712.7788086
105,AGO1983,1540350040.0,1541050891.8701172,1584567953.1151428
106,AGO1984,1802315134.9990234,1802505692.9990234,1835522802.6728516
107,AGO1985,2067731242.4998782,2067787071.1497805,2092379816.640259
108,AGO1986,1370474354.0,1371207123.2507324,1408283482.7878418
109,AGO1987,1998874547.9414067,2054147008.8564458,2082468914.9553227
110,AGO1988,2335908812.0,2518003915.656189,2549448350.4103394
111,AGO1989,2801724494.0,3040050150.663086,3056999920.3740234
112,AGO1990,3648008741.0,3901802361.0,3914793243.0
113,AGO1991,3053112421.0,3100737348.0,3106603455.0
114,AGO1992,3405638580.0,3579943799.0,3587633486.0
115,AGO1993,2969083324.0,3103971652.0,3110227414.0
116,AGO1994,2867136684.0,2988280987.0,2994099024.0
117,AGO1995,3314047013.0,3472842727.0,3479297096.0
118,AGO1996,4425693242.0,4667975404.0,4676722888.0
119,AGO1997,4080614910.0,4390677598.0,4397309649.0
120,AGO1998,3232827538.0,3569547006.0,3576798390.0
121,AGO1999,3963627738.0,4488644751.0,4500865710.0
122,AGO2000,7090791284.0,7696497899.0,7706099097.0
123,AGO2001,5808689923.0,6340454135.0,6348196090.0
124,AGO2002,6962249618.0,7435356280.0,7444231886.0
125,AGO2003,8517347252.0,8785972536.0,8796684199.0
126,AGO2004,11915612456.0,12064026815.0,12078807547.0
127,AGO2005,20211246223.0,20857724047.0,20882324803.0
128,AGO2006,29690717199.0,30295204871.0,30313059845.0
129,AGO2007,39839954336.0,40125693396.0,40889785620.0
130,AGO2008,62992149248.0,63896376073.0,63953464235.0
131,AGO2009,37954615200.0,38358095084.0,39133424663.0
132,AGO2010,49444473849.0,49659400913.0,50613787122.0
133,AGO2011,61808020105.0,62321243524.0,63347248175.0
134,AGO2012,70598429947.0,71431814220.0,72553578690.0
135,AGO2013,67067822656.0,67764295138.0,68848268639.0
136,AGO2014,59817346825.0,60639295230.0,61839082152.0
137,AGO2015,32641632303.0,33403231629.0,34311984431.0
138,AGO2016,24600092426.0,25476719288.0,25544240422.0
139,AIA1981,0.0,0.0,2227.9599609375
140,AIA1982,0.0,0.0,5207.39990234375
141,AIA1983,0.0,0.0,5478.0
142,AIA1984,0.0,0.0,9148.0
143,AIA1985,0.0,0.0,6683.25
144,AIA1986,0.0,1773391.334350586,1794811.3114013672
145,AIA1987,0.0,2697.9990234375,6960.59912109375
146,AIA1988,0.0,17316.814697265625,100733.62719726562
147,AIA1989,0.0,1035501.095703125,1043109.6455078125
148,AIA1990,12482.0,96227.0,459096.0
149,AIA1991,5880.0,864976.0,981814.0
150,AIA1992,61524.0,75714.0,177816.0
151,AIA1993,0.0,899961.0,1246529.0
152,AIA1994,0.0,36334.0,83051.0
153,AIA1995,208135.0,354577.0,461081.0
154,AIA1996,0.0,7087.0,1403678.0
155,AIA1997,393172.0,2090557.0,2152065.0
156,AIA1998,0.0,230473.0,427015.0
157,AIA1999,10114.0,332349.0,1469309.0
158,AIA2000,10767.0,385995.0,393394.0
159,AIA2001,401027.0,1234155.0,1626798.0
160,AIA2002,89890.0,654169.0,770226.0
161,AIA2003,1375.0,76196.0,2887736.0
162,AIA2004,0.0,583586.0,881273.0
163,AIA2005,0.0,146271.0,1451364.0
164,AIA2006,0.0,82044.0,100136.0
165,AIA2007,29888.0,688003.0,689950.0
166,AIA2008,20491.0,1056377.0,1211990.0
167,AIA2009,0.0,2110108.0,2170718.0
168,AIA2010,0.0,946985.0,962391.0
169,AIA2011,4298371.0,7156439.0,7170907.0
170,AIA2012,1500.0,1833360.0,1841616.0
171,AIA2013,0.0,1872804.0,1897575.0
172,AIA2014,0.0,1939296.0,1977435.0
173,AIA2015,49440.0,908163.0,1552080.0
174,AIA2016,0.0,2040467.0,2144512.0
175,ALB1962,675347.744140625,1089880.337890625,1092176.3371582031
176,ALB1963,1304441.984375,1917222.509399414,2366507.504638672
177,ALB1964,2432690.8125,3030749.8125,4384379.799072266
178,ALB1965,2004939.78125,2941604.6572265625,3239122.6742858887
179,ALB1966,794488.6884765625,2599169.7338867188,3077634.8139648438
180,ALB1967,1188104.28125,3487094.014038086,4153136.862915039
181,ALB1968,4626321.533203125,13984880.614746094,18997438.412597656
182,ALB1969,5001934.3037109375,14825076.547851562,18234980.865722656
183,ALB1970,7475349.75,17738432.261169434,23901943.375213623
184,ALB1971,2918939.7744140625,15130549.874755858,29610652.93725586
185,ALB1972,4517040.198242188,15452120.559326172,24884726.082214355
186,ALB1973,8954725.609375,24733526.741531372,35054934.399246216
187,ALB1974,24382912.3046875,47858212.509277344,60936117.90368652
188,ALB1975,17566657.490234375,53478215.94494629,64445982.63342285
189,ALB1976,16139517.74987793,40417016.8125,48882388.02636719
190,ALB1977,19998294.00012207,50588302.94454956,66496482.28024292
191,ALB1978,6541350.4921875,19595712.167114258,24858152.77404785
192,ALB1979,26188527.0,80418809.13922119,84838846.58239746
193,ALB1980,44605043.62463379,81493044.70123291,99988155.315979
194,ALB1981,59922764.98046875,98661871.08740234,112309469.51171875
195,ALB1982,62331601.44921875,111234088.15100098,127759012.98937988
196,ALB1983,39420532.99987793,92648128.43481445,113891004.16772461
197,ALB1984,23652250.25,84450887.80285645,103130036.73449707
198,ALB1985,16052683.78125,72595810.55297852,89488336.40698242
199,ALB1986,14555624.5,81771798.26428223,110478224.02062988
200,ALB1987,19296569.50390625,83256660.5001831,109685286.92980957
201,ALB1988,17541554.0,133001021.94567871,162924416.0736084
202,ALB1989,15302072.02294922,175750034.61956787,202528485.8012085
203,ALB1990,15360495.0,105169649.0,125519342.0
204,ALB1991,41069135.0,75360975.0,83029313.0
