,t_exp,map,t_exp_cons
0,,ARB1960,
1,,ARB1961,
2,,ARB1962,
3,,ARB1963,
4,,ARB1964,
5,,ARB1965,
6,,ARB1966,
7,,ARB1967,
8,,ARB1968,
9,,ARB1969,
10,,ARB1970,
11,,ARB1971,
12,,ARB1972,
13,,ARB1973,
14,,ARB1974,
15,,ARB1975,
16,,ARB1976,
17,,ARB1977,
18,,ARB1978,
19,,ARB1979,
20,,ARB1980,
21,,ARB1981,
22,,ARB1982,
23,,ARB1983,
24,,ARB1984,
25,,ARB1985,
26,,ARB1986,
27,,ARB1987,
28,,ARB1988,
29,,ARB1989,
30,,ARB1990,
31,,ARB1991,
32,,ARB1992,
33,,ARB1993,
34,163481126117.736,ARB1994,
35,186190812302.495,ARB1995,
36,213691764814.406,ARB1996,
37,220163966228.121,ARB1997,
38,171928684782.374,ARB1998,
39,206816563285.04602,ARB1999,
40,288853501347.218,ARB2000,
41,266440094151.651,ARB2001,657858959394.575
42,277196199776.08,ARB2002,644000206633.4711
43,347202958703.953,ARB2003,733808873747.659
44,462106279313.89294,ARB2004,810477662099.852
45,624750345698.728,ARB2005,882801494100.3191
46,762858844967.573,ARB2006,940198705954.553
47,889466489085.005,ARB2007,991890974715.463
48,1188128372634.48,ARB2008,1039971517531.99
49,832884163980.4971,ARB2009,972308772606.1759
50,1029022506200.97,ARB2010,1029022506200.97
51,1364928640017.12,ARB2011,1112712356084.41
52,1546864506248.99,ARB2012,1231087889451.63
53,1531682312328.61,ARB2013,1245873808510.43
54,1451254579864.07,ARB2014,1222001767956.9
55,1070779482943.58,ARB2015,1241070287030.92
56,988362131552.0359,ARB2016,1275734701253.39
57,1123819538486.08,ARB2017,1321306177009.39
58,,ARB2018,
59,,CSS1960,
60,,CSS1961,
61,,CSS1962,
62,,CSS1963,
63,,CSS1964,
64,,CSS1965,
65,,CSS1966,
66,,CSS1967,
67,,CSS1968,
68,,CSS1969,
69,,CSS1970,
70,,CSS1971,
71,,CSS1972,
72,,CSS1973,
73,,CSS1974,
74,,CSS1975,
75,,CSS1976,
76,,CSS1977,
77,,CSS1978,
78,,CSS1979,
79,,CSS1980,
80,,CSS1981,
81,,CSS1982,
82,,CSS1983,
83,,CSS1984,
84,,CSS1985,
85,,CSS1986,
86,,CSS1987,
87,,CSS1988,
88,,CSS1989,
89,,CSS1990,
90,,CSS1991,
91,,CSS1992,
92,,CSS1993,
93,,CSS1994,
94,,CSS1995,
95,,CSS1996,
96,,CSS1997,
97,,CSS1998,
98,,CSS1999,
99,,CSS2000,
100,,CSS2001,
101,,CSS2002,
102,,CSS2003,
103,,CSS2004,
104,,CSS2005,
105,,CSS2006,
106,,CSS2007,
107,,CSS2008,
108,,CSS2009,
109,,CSS2010,
110,,CSS2011,
111,,CSS2012,
112,,CSS2013,
113,,CSS2014,
114,,CSS2015,
115,,CSS2016,
116,,CSS2017,
117,,CSS2018,
118,,CEB1960,
119,,CEB1961,
120,,CEB1962,
121,,CEB1963,
122,,CEB1964,
123,,CEB1965,
124,,CEB1966,
125,,CEB1967,
126,,CEB1968,
127,,CEB1969,
