,map,code,year,eci1,eci2,eci3,gdp_pc,population,res_exp1_to_gdp,res_exp2_to_gdp,res_exp3_to_gdp,oil_rents,res_rents,oil_prod_pc
0,ABW1960,ABW,1960,,,,,54211.0,,,,,,
1,ABW1961,ABW,1961,,,,,55438.0,,,,,,
2,ABW1962,ABW,1962,,,,,56225.0,,,,,,
3,ABW1963,ABW,1963,,,,,56695.0,,,,,,
4,ABW1964,ABW,1964,,,,,57032.0,,,,,,
5,ABW1965,ABW,1965,,,,,57360.0,,,,,,
6,ABW1966,ABW,1966,,,,,57715.0,,,,,,
7,ABW1967,ABW,1967,,,,,58055.0,,,,,,
8,ABW1968,ABW,1968,,,,,58386.0,,,,,,
9,ABW1969,ABW,1969,,,,,58726.0,,,,,,
10,ABW1970,ABW,1970,,,,,59063.0,,,,,,
11,ABW1971,ABW,1971,,,,,59440.0,,,,,,
12,ABW1972,ABW,1972,,,,,59840.0,,,,,,
13,ABW1973,ABW,1973,,,,,60243.0,,,,,,
14,ABW1974,ABW,1974,,,,,60528.0,,,,,,
15,ABW1975,ABW,1975,,,,,60657.0,,,,,,
16,ABW1976,ABW,1976,,,,,60586.0,,,,,,
17,ABW1977,ABW,1977,,,,,60366.0,,,,,,
18,ABW1978,ABW,1978,,,,,60103.0,,,,,,
19,ABW1979,ABW,1979,,,,,59980.0,,,,,,
20,ABW1980,ABW,1980,,,,,60096.0,,,,,,
21,ABW1981,ABW,1981,,,,,60567.0,,,,,,
22,ABW1982,ABW,1982,,,,,61345.0,,,,,,
23,ABW1983,ABW,1983,,,,,62201.0,,,,,,
24,ABW1984,ABW,1984,,,,,62836.0,,,,,,
25,ABW1985,ABW,1985,,,,,63026.0,,,,,,
26,ABW1986,ABW,1986,-1.8359397330276488,-1.7631013257828412,-2.081361407610098,6472.50202920407,62644.0,,,,0.0,0.000878296605410675,0.0
27,ABW1987,ABW,1987,-1.6844450090164311,-1.4998848215020442,-1.9553953921991845,7885.79654466735,61833.0,,,,0.0,0.0007344038923558177,0.0
28,ABW1988,ABW,1988,-1.5617869985946355,-1.603751161879297,-1.835551053596464,9764.789978793293,61079.0,0.0001581537415266284,0.0001581537415266284,0.0001581537415266284,0.0,0.000575271854100482,0.0
29,ABW1989,ABW,1989,-1.6183579085144248,-1.5648889946626,-1.6577620117679508,11392.455810576399,61032.0,0.005367120970999625,0.005716450692495019,0.007182929854124257,0.0,0.000491427131417883,0.0
30,ABW1990,ABW,1990,-1.0645086381393238,-1.0473550240359002,-1.1520870996581576,12307.311737831398,62149.0,0.0509803709899392,0.05103779253491318,0.053804208588253466,0.0,0.00155209457207621,-1.097774702730535e-06
31,ABW1991,ABW,1991,-1.1144674166837083,-1.0553082678393315,-1.36642711685974,13496.0033851411,64622.0,0.19880129259938625,0.1990922153517567,0.20017874891182474,0.0,0.00163373332125288,5.969587725542384e-07
32,ABW1992,ABW,1992,0.08584148643473934,0.0864057362719363,0.08305600264646719,14046.5039965619,68235.0,0.3322928568689402,0.33998977835577354,0.3413263429726785,0.0,0.00137948180295147,-4.034628856158863e-07
33,ABW1993,ABW,1993,0.14074822230299505,0.10972167018892157,0.1406393875551566,14936.827039276,72504.0,0.5171427959738586,0.5174893851087673,0.5204211971986477,0.0,0.0009254627444508153,-3.797071885689065e-07
34,ABW1994,ABW,1994,-1.1053095154809502,-1.005995092390538,-1.4246448330855113,16241.046324711699,76700.0,0.43002367700314165,0.43036938067251995,0.43656088402881554,0.0,0.0009373532103609481,0.0
35,ABW1995,ABW,1995,-0.672968428849786,-0.7619460193727722,-1.4200923200789288,16439.3563609282,80324.0,0.48891174560954287,0.4891002565819796,0.5013313232119797,0.0,0.00116676045620415,0.0
36,ABW1996,ABW,1996,-0.6813660877705415,-0.6079660926919147,-1.2885815439491466,16586.068435754198,83200.0,0.5223690578552541,0.5249375523798337,0.5387393934934593,0.0,0.000819358991065385,0.0
37,ABW1997,ABW,1997,-0.7037635010653299,-0.44662088930620747,-0.4752114963216949,17927.749635208602,85451.0,0.6005894428739188,0.6066630194443846,0.6227558804381925,0.0,0.0010024391251737801,0.0
38,ABW1998,ABW,1998,-0.686392974719337,-1.4820988377168984,-1.7722346589537288,19078.3431907515,87277.0,0.34353173568123746,0.36150973937856645,0.3666144358822084,0.0,0.0008484867582878662,0.0
39,ABW1999,ABW,1999,-0.8843283229534119,-1.1010186947517882,-1.2225076502047805,19356.2033894901,89005.0,0.44773094570353017,0.46247304372513337,0.48740208415563985,0.0,0.000717946084644347,0.0
40,ABW2000,ABW,2000,-1.2398942003325024,-1.2567002639117606,-1.400483168560416,20620.7006259175,90853.0,0.5222503739518353,0.5344309394211387,0.5570412792531938,0.0,0.000703181870217004,2.593261341701429e-05
41,ABW2001,ABW,2001,-1.2819918174957134,-1.3545093190044242,-1.6762350520667124,20669.0319688645,92898.0,0.3723232336659869,0.3772118205353497,0.3938394086441655,0.0,0.000712137437362349,2.5431232900305715e-05
42,ABW2002,ABW,2002,-1.3606219613086337,-1.3251343769773414,-1.3967371907986594,20436.8871286309,94992.0,0.2457295568057547,0.25020113133812877,0.26614770202014315,0.0,0.0006572292625145861,2.487062777889296e-05
43,ABW2003,ABW,2003,-1.2811375225207111,-1.2158538087606254,-1.4758256350413963,20833.7616116694,97017.0,0.2961904826755113,0.2971918456826976,0.30886701777501374,0.0,0.000699970185109785,2.4351512353222634e-05
44,ABW2004,ABW,2004,-1.2860862592015099,-1.3091154477342468,-1.4985486732299176,22569.9749851801,98737.0,0.5315955637026828,0.5323487799072454,0.5431074647430438,0.0,0.000685497461216565,2.386193348770977e-05
45,ABW2005,ABW,2005,-1.339872415147072,-1.4104193048961788,-1.7948362202991577,23300.0395575696,100031.0,0.7863501346452543,0.7881909630081497,0.8242815235139024,0.0,0.000653399781738063,2.3502714158610832e-05
46,ABW2006,ABW,2006,-1.1160815612381432,-1.2284595999295067,-1.5768759507074548,24045.7494206858,100832.0,0.8502967825161298,0.8546313153594478,0.8824399684193557,0.0,0.000940949465840094,2.2165582354807998e-05
47,ABW2007,ABW,2007,-1.081147714056433,-1.1718304278282563,-1.4125615867567545,25835.6431424885,101220.0,0.8110691427579582,0.8150755983080543,0.8632699517944888,0.0,0.000918692037728531,2.447144833036949e-05
48,ABW2008,ABW,2008,-1.2735103743320273,-1.2236139853935235,-1.5001320156118942,27086.0398473459,101353.0,1.0100121145136363,1.0145790867826636,1.03164804303826,0.0,0.000949223427263557,2.4320937712746537e-05
49,ABW2009,ABW,2009,-1.4706948051403663,-1.3732827198989457,-1.4777341080691586,24630.93926807729,101453.0,0.4177894275318571,0.4194424947328408,0.4224366056829861,0.0,0.000967668246167683,2.770741131361321e-05
