,oil_rents,map
0,,ARB1960
1,,ARB1961
2,,ARB1962
3,,ARB1963
4,,ARB1964
5,,ARB1965
6,,ARB1966
7,,ARB1967
8,,ARB1968
9,,ARB1969
10,12.954066914040899,ARB1970
11,14.751464053666401,ARB1971
12,16.582178219790798,ARB1972
13,21.550241677208,ARB1973
14,48.026695767894005,ARB1974
15,38.8127611137723,ARB1975
16,39.388181969050606,ARB1976
17,37.486244210039,ARB1977
18,34.102871909979,ARB1978
19,58.3265070667735,ARB1979
20,51.7335012415681,ARB1980
21,38.863062291941,ARB1981
22,25.309903322600498,ARB1982
23,24.8922362519059,ARB1983
24,24.331543763098303,ARB1984
25,21.4635403445429,ARB1985
26,13.4447834884465,ARB1986
27,17.490493211563802,ARB1987
28,16.588818690230998,ARB1988
29,23.7716139993119,ARB1989
30,24.010038220278698,ARB1990
31,19.9700912766362,ARB1991
32,20.712201455906698,ARB1992
33,20.0439102254523,ARB1993
34,18.2603738691607,ARB1994
35,18.9193624377304,ARB1995
36,22.036843534068304,ARB1996
37,18.8638816193774,ARB1997
38,12.442780911885901,ARB1998
39,16.307640931470598,ARB1999
40,25.4503071747371,ARB2000
41,20.527525888263604,ARB2001
42,19.900199096033898,ARB2002
43,23.032214025092397,ARB2003
44,28.446958330041102,ARB2004
45,34.7210490652916,ARB2005
46,35.1238756348479,ARB2006
47,32.1927745183977,ARB2007
48,36.176171475372,ARB2008
49,22.4357701975412,ARB2009
50,26.6813417108667,ARB2010
51,33.856236852283004,ARB2011
52,32.9836379156903,ARB2012
53,30.0992179484186,ARB2013
54,26.7403893691422,ARB2014
55,15.3123764914411,ARB2015
56,12.792781484014599,ARB2016
57,16.3757864380947,ARB2017
58,,ARB2018
59,,CSS1960
60,,CSS1961
61,,CSS1962
62,,CSS1963
63,,CSS1964
64,,CSS1965
65,,CSS1966
66,,CSS1967
67,,CSS1968
68,,CSS1969
69,,CSS1970
70,,CSS1971
71,1.68199666893964,CSS1972
72,2.98245005943888,CSS1973
73,11.9721189051665,CSS1974
74,11.018743969918802,CSS1975
75,11.3422015624003,CSS1976
76,8.86468153885999,CSS1977
77,9.95296327641755,CSS1978
78,20.6122738873069,CSS1979
79,14.840002400265698,CSS1980
80,12.8509795696266,CSS1981
81,5.48178328108334,CSS1982
82,6.307676392990411,CSS1983
83,6.854283786473251,CSS1984
84,6.8866666339172005,CSS1985
85,3.2471412683315997,CSS1986
86,4.4937981188392095,CSS1987
87,3.18363709118639,CSS1988
88,4.52950143138959,CSS1989
89,5.62574994658039,CSS1990
90,3.25884302583745,CSS1991
91,3.2719095130722797,CSS1992
92,2.88047695623405,CSS1993
93,2.45799094779142,CSS1994
94,2.44071337825841,CSS1995
95,2.95048254994439,CSS1996
96,2.09635147829548,CSS1997
97,1.01294438297381,CSS1998
98,1.7406628880791,CSS1999
99,2.9562216921299798,CSS2000
100,1.9511124065531102,CSS2001
101,2.10507498976022,CSS2002
102,2.5258143965234803,CSS2003
103,2.84735478800107,CSS2004
104,4.40496046826887,CSS2005
105,4.70468633962484,CSS2006
106,3.80348304230402,CSS2007
