"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=0000000000000000000000000000000000g&c=ruvvvvvfvtvnvv1urvvvvfvvvvvvfvvvou20evvvvvvvvvnvvuvs&ct=0&tl_id=5-A&vs=INTL.53-1-AFG-TBPD.A&cy=2017&vo=0&v=T&end=2018"
"Fri May 24 2019 18:29:34 GMT+0200 (Central European Summer Time)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"","Petroleum and Other Liquids (annual)","1000 bbl/d"
"","Production",""
"","Total Petroleum and Other Liquids",""
"","Total Petroleum and Other Liquids",""
"","Afghanistan","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Albania","1000 bbl/d",44,44,64,75,55,55,55,54,44,47,30,19,10,11,11,9.9,9.6,9.2657534246575,6.4,5.5753424657534,5.6600993056776,5.9940386902137,6.3223393940603,6.722138203611,6.6988375638087,6.985,7.8144657534247,6.5011780821918,6.036,5.3907671232877,10.870835616438,15.573068493151,16.84706557377,17.016219178082,20.586849315068,20.230643835616,22.817633879781,16.069,14.482698630137
"","Algeria","1000 bbl/d",1143,1052,1046,1018,1115,1142,1190,1200,1174,1234,1315,1309,1341,1312,1295.6,1306.7945205479,1376.0448087432,1417.2397260274,1402.4109589041,1388.601369863,1433.0252873095,1513.892645335,1617.6530514084,1784.0430240192,1844.5250343737,1956.7780684932,1967.4934931507,1967.545260274,1954.459,1909.8147123288,1881.051,1862.69,1875.2271693989,1763.0818219178,1722.342,1798.425,1698.7856557377,1641.7428082192,1577.0825342466
"","American Samoa","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Angola","1000 bbl/d",150,130,122,177,208,231,281,359,451,454,474,499,526,508,535.79726027397,645.43287671233,708.18415300546,713.20821917808,734.58219178082,744.51780821918,746.11311260974,741.9041209333,896.14300652761,902.30472165696,1054.4150318537,1249.2288082192,1419.9168630137,1747.504830137,1960.2065081967,1886.2952191781,1917.9925479452,1765.0274383562,1796.4701803279,1814.0265342466,1755.7554383562,1827.9220136986,1796.7427540984,1706.4348493151,1655.1690958904
"","Antarctica","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Antigua and Barbuda","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Argentina","1000 bbl/d",508,513,507,504,498,485,471,472,492,496,521,529,597,647,713.1095890411,773.57534246575,820.98360655738,904.67123287671,916.68493150685,870.23287671233,831.74536200536,876.07287944176,865.5893954249,865.7590334744,825.08216636179,797.08575342466,802.28490958904,781.22516986301,801.04222677596,801.65746575342,788.87369041096,763.10448219178,722.69703551913,706.12696164384,716.35140547945,708.68324657534,708.77014754098,676.22804109589,678.55954794521
"","Armenia","1000 bbl/d",--,--,--,--,--,--,--,--,--,--,--,--,0,0.00024718704657534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Aruba","1000 bbl/d",--,--,--,--,--,--,0,0,0,0,-0.0682256,0.0385766698,-0.02753029,-0.02753029,0,0,0,0,0,0,2.356055726776,2.3625106739726,2.3625106739726,2.3625106739726,2.356055726776,2.351,2.235,2.477,2.465,2.811,2.813,2.822,0.68,0,0,0,0,0,0
"","Australia","1000 bbl/d",460,474,444,489,571,665,606,639,633,583,666,635,619,590,624.3095890411,646.79452054795,666.74863387978,694.56164383562,648.70684931507,646.95068493151,828.05825409836,768.25712876712,744.24487945205,629.81298082192,557.34418879781,580.79393150685,561.77256164384,567.35591780822,570.91261202186,580.74653424658,590.22520547945,514.65893150685,507.08881420765,432.76483561644,448.15634246575,402.34682191781,373.7283715847,341.76189041096,362.43312328767
"","Austria","1000 bbl/d",30,28,29,28,27,25,25,24,27,27,27,30,27,26,26,27.704109589041,26.697267759563,24,25.704109589041,23.2,24.746918032787,25.285332876712,26.893875342466,25.908538356164,26.461887978142,24.920438356164,26.617424657534,27.682808219178,27.925901639344,28.192,36.275917808219,36.972534246575,37.009535519126,27.979904109589,31.903863013699,33.013890410959,29.415202185792,29.245534246575,28.223616438356
"","Azerbaijan","1000 bbl/d",--,--,--,--,--,--,--,--,--,--,--,--,222,206,191.1095890411,180.55753424658,180.38087431694,179.97534246575,236.77397260274,283.57808219178,288.5872103184,308.86233791086,315.41844643675,325.17476278923,317.6340321204,440.00560273973,646.58054794521,849.06904657534,878.19272404372,1015.9452630137,1044.844369863,993.26052054795,931.75600273224,880.82496986301,856.87589863014,858.1772,843.54625136612,800.68197260274,808.48197260274
"","Bahamas, The","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Bahrain","1000 bbl/d",57,55,53,52,51,49,53,52,53,52,48,44,45,55,55.2,53,46.4,53.1,49.6,49.2,49.775009624984,49.254580375332,49.392913315068,49.589591726027,50.606052540984,47.525,48.853,48.435,48.598,48.685,47.489,47.487,55.165,60.993,64.181109589041,65.886,63.886,59.886,54.886
"","Bangladesh","1000 bbl/d",0,0,0,0.2,0.4,0.7,0.7,0.6,0.8,0.7,1,0.9,1,1.2,1.6,1.3,1.5,2.2,2.2,2,3.2110340290164,4.1014933735288,6.8246917905699,6.9128311285918,6.7458151641421,6.76,6.733,6.724,6.4086666666667,5.684,5.072,5.063,4.8486666666667,4.156,4.127,4.105,4.105,3.7707534246575,3.105
"","Barbados","1000 bbl/d",0,0,1,1,2,2,1.9,1.2,1.2,1,1.1,1,1.2,1.1,1.1,1.1,1.2,0.9,1.6,1.9,1.53,1.271,1,1,1.0022325046737,1,1.0334246575342,1.1084931506849,1.101,0.766,1,1,1,1,1,1,1,1,1
"","Belarus","1000 bbl/d",--,--,--,--,--,--,--,--,--,--,--,--,42,35,36.350684931507,34.180821917808,32.861202185792,33.542465753425,33.916438356164,33.88904109589,34.687913602423,35.371999049633,33.469221064,34.331285743551,35.031041709754,35.155,35.602,36.011,35.296,32.063,32.113,30.739,30.124,31.307,33.193,26.001931506849,32.583666666667,31.917,31.163575342466
"","Belgium","1000 bbl/d",8,8,9,10,11,11,6.1,5.6,8.2,11,11,9.1,10,9.8,13,12,11,11,11,12,10.218117486339,12.3046,13.060852054795,11.060347945205,10.687590163934,8.691,11.914,11.224,11.218,12.603,23.04,21.982,22.474,23.892,28.595,25.458,24.423,28.785,28.785
"","Belize","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2573095890411,2.999797260274,3.5106639344262,3.989501369863,4.2516821917808,4,3.2393442622951,3,1.8177616438356,2,2,2,2
"","Benin","1000 bbl/d",0,0,0,4,7,8,8,7,5,4,4,4,5.6,5.8,5.9,3,2,1.3,1,1,0.69,0.7,0.8,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Bermuda","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Bhutan","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Bolivia","1000 bbl/d",32,26,30,28,27,26,23,24,24,25,26,26,28,30,31.8,35.591780821918,37.86393442623,38.138356164384,44.7,41.5,40.435148657945,44.853252834437,47.220134189873,42.920152998194,61.338126812372,62.664463013699,61.316663013699,61.825282191781,51.557117486339,45.959701369863,47.872942465753,49.254312328767,57.594366120219,65.201178082192,69.001660273973,74.069473972603,77.634868852459,77.465904109589,77.63302739726
"","Bosnia and Herzegovina","1000 bbl/d",--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.073,-0.059,-0.097,-0.094,-0.015,0.07,0.131,0.258,0.219,0.248,0.248,0.248,0.248
"","Botswana","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Brazil","1000 bbl/d",245,283,348,460,614,734,740,768,751,790,821,838,824,839,957.42465753425,990.42465753425,1107.0027322404,1172.197260274,1282.6273972603,1427.7726027397,1534.1068965433,1573.4855144624,1757.8922450544,1846.8988412125,1839.483427791,2037.5220136986,2169.4636054795,2283.5048082192,2431.4689098361,2561.7134465753,2723.7420082192,2699.1337561644,2669.1223196721,2713.4722986301,2970.6780328767,3186.4863643836,3242.9578360656,3366.452109589,3427.7836164384
"","Brunei","1000 bbl/d",270,188,179,187,175,168,181,150,148,142,160,171,178,178,180.63561643836,175.84383561644,166.69617486339,175.34109589041,179.58767123288,204.22328767123,215.36775561187,217.58366067379,189.40659608153,196.36775230463,204.4311477277,209.95945205479,221.24478082192,169.96663013699,157.76433879781,148.85721917808,153.32793150685,169.37704109589,158.73103825137,135.48984931507,126.8074109589,127.00387671233,121.03438797814,113.31346575342,111.62305479452
"","Bulgaria","1000 bbl/d",3,3,3,3,4,6,-0.2,0.09789268493151,-1.5,4.7,3.5,0.03394316988493,0.4,0.6,0.3,1,1.6,0.9,2.2,2.6,1.962067956071,1.1624270501315,2.6481324306247,3.1280627748384,3.6612623720601,3.357,3.378,3.125,3.517,3.341,3.359,3.367,3.799,4.095,3.2371917808219,5.076,5.339,5.339,5.339
"","Burkina Faso","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Burma (Myanmar)","1000 bbl/d",30,27,30,30,32,30,24,17,14,16,14,16,15,14,14.342465753425,10.2,8.4,9.6,11.6,10.2,12.740341286055,10.487984728981,15.602408682121,15.687312996142,20.68386737935,20.751,23.791,21.954643835616,22.05993442623,18.775931506849,21.136767123288,20.733,20.681,20.694,20.315342465753,15.634,15.634,12.634,11.634
"","Burundi","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Cambodia","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0
"","Cameroon","1000 bbl/d",58,87,109,114,135,185,177,174,163,170,161,153,140,127,108.34520547945,111.4,108.41639344262,124.5,121.5,100.5,85.059654516798,76.891325340203,69.900756146581,67.218153495858,66.347011758596,82.709068493151,86.807739726027,83.156397260274,81.780136612022,77.420109589041,65.54,62.227273972603,63.452,63.070164383562,75.441,98.469,92.469,76.186808219178,69.469
"","Canada","1000 bbl/d",1816,1663,1639,1692,1810,1848,1863,1960,2057,2031,2040,2041,2126,2250,2341.2904109589,2452.7945205479,2501.5765027322,2627.4712328767,2700.0493150685,2632.5575342466,2753.1445546448,2816.3618479452,2953.6996808219,3113.645210274,3139.3577882514,3096.2846136986,3292.0780767123,3448.5232328767,3348.2466967213,3318.8291178082,3441.7302739726,3596.9136712329,3855.9235355191,4073.0712876712,4394.265369863,4511.2705616438,4596.7248196721,4964.1335205479,5295.1691369863
"","Cape Verde","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Cayman Islands","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Central African Republic","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Chad","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.068493150685,170.58743169399,176.65753424658,157.91780821918,144.20273972603,127.16393442623,119.47123287671,122.52054794521,114.96438356164,104.48360655738,100,121,123,114,128,132
"","Chile","1000 bbl/d",46,52,54,50,50,48,44,43,38,36,35,32,29,30,29.11095890411,26.778082191781,25.7,18.866849315068,18.404109589041,18.03095890411,16.361889504519,17.171857884614,17.141584170811,16.933286193693,15.75985105535,14.928575342466,12.891838356164,10.872263013699,12.791079234973,13.501876712329,18.57604109589,19.233767123288,18.436371584699,17.159356164384,15.616465753425,14.215273972603,12.85849726776,13.457835616438,16.214
"","China","1000 bbl/d",2114,2012,2045,2120,2296,2505,2588,2680,2722,2749,2768,2836,2852,2903,2957.2876712329,3060.0493150685,3211.3387978142,3284.3424657534,3302.1780821918,3316.9945205479,3388.5273186952,3444.6348642789,3549.8615359097,3602.9059855313,3722.7524981073,3871.0159178082,3980.2150684932,4079.0112328767,4166.9319672131,4218.448630137,4575.1552739726,4660.0136164384,4773.2034754098,4911.7307123288,5045.2627945205,5180.3761506849,4905.0708743169,4793.4502739726,4816.0447945205
"","Colombia","1000 bbl/d",134,133,149,158,174,182,315,396,387,417,454,430,445,467,462.33424657534,597.19863013699,642.06448087432,665.25890410959,745.93835616438,830.42465753425,704.11599785414,636.82415346525,588.27608795957,554.67629547226,541.9564407713,540.68656438356,548.35155342466,546.10849589041,603.67401092896,690.27655616438,805.75348767123,938.41206849315,968.46765027322,1028.2005068493,1013.9070465753,1029.9540410959,911.89181967213,879.51634246575,889.59853424658
"","Comoros","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Congo (Brazzaville)","1000 bbl/d",65,83,89,87,121,120,119,123,144,164,165,156,174,181,179.60410958904,187.57397260274,200.6262295082,264.93287671233,277,282.83835616438,291.90739878406,266.35026994524,259.96209928921,255.5232559511,242.92703673196,235.8758109589,247.29631506849,213.65073972603,239.87749180328,274.4862739726,345.96821643836,295.88485205479,270.41434972678,248.0345260274,241.00748493151,245.2174,204.73532513661,251.93626027397,347.21845205479
"","Congo (Kinshasa)","1000 bbl/d",20,20,23,25,32,33,32,32,30,28,29,28,26,25,26.060273972603,29.9,29.9,28.328767123288,26.838356164384,22,26.017034831257,24.017081502027,22.665753424658,22,21.084699453552,19.747945205479,20,22.156164383562,19.957650273224,22,21,20.161643835616,20,20,20,20,20,19.161643835616,17
"","Cook Islands","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Costa Rica","1000 bbl/d",0,0,0,0,0,0,-0.2,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.3,-0.1,-0.3,-0.3,-0.3,0,0,-0.00012561150273224,0.071376550279452,0.47779239318356,0.72921206918356,1.022570715892,1.877,1.856,2.637,2.308,1.226,-0.109,-0.04,1.259,1.324,1.331,1.479,1.571,1.571,1.571
"","Cote dIvoire (IvoryCoast)","1000 bbl/d",2,8,10,24,28,29,20,18,12,1.7,1.7,1.8,1.3,0.8,7.3,8.5232876712329,16.3,19.567123287671,20.9,16,12.36466683023,11.540633801321,13.074707633688,19.851584684148,27.776907194866,39.936,63.297,53.044,59.932027322404,58.480260273973,44.541876712329,40.27404109589,38.713300546448,38.083,37.04,30.357,50.357,55.357,53.357
"","Croatia","1000 bbl/d",--,--,--,--,--,--,--,--,--,--,--,--,41,43,47.3,41.7,37.9,38.2,40.2,33.4,33.41746741171,32.409404073047,31.222408886334,31.330154998077,28.777856438546,27.690534246575,25.628684931507,23.83561369863,22.098666666667,24.444821917808,23.606561643836,21.352054794521,20.685333333333,20.625260273973,20.049630136986,18.685178082192,18.527967213115,18.926,18.841068493151
"","Cuba","1000 bbl/d",6,9,11,13,16,19,17,17,13,13,12,12,16,19,24.1,25.767123287671,31.2,32.9,34.3,40.8,43.877990941475,51.462379943638,48.543994153009,56.275518304104,59.213100212169,53.455,52.25,51.634,50.699,46.342,56.489,58.401,55.29450273224,53.526,53.169,50.335,49.737333333333,49.904,49.904
"","Cyprus","1000 bbl/d",0,0,0,0,0,0,0.019478957945205,-0.014733573606849,-0.011273702290984,0.022656951031507,0.046594227334247,-0.034491628306849,-0.1,-0.2,-0.1,-0.2,0,-0.3,-0.3,-0.4,-0.36403034536612,-0.35683595966575,-0.25876247771507,-0.19135922351572,-0.072853044689945,0.02,0.02,0.02,0.2,0.2,0.11,0.13,0.13,0.04,0.03,0.02,0.01,0,0
