,res_rents,map
0,,ARB1960
1,,ARB1961
2,,ARB1962
3,,ARB1963
4,,ARB1964
5,,ARB1965
6,,ARB1966
7,,ARB1967
8,,ARB1968
9,,ARB1969
10,13.317689417107598,ARB1970
11,15.052501621377301,ARB1971
12,16.8410696644093,ARB1972
13,21.8752773084161,ARB1973
14,49.077134157212285,ARB1974
15,39.7145509289426,ARB1975
16,39.8047080245234,ARB1976
17,38.2296868434075,ARB1977
18,34.4987675550165,ARB1978
19,58.855476260706396,ARB1979
20,52.2013078959925,ARB1980
21,39.208999790269,ARB1981
22,25.6020422745187,ARB1982
23,25.4154576530028,ARB1983
24,24.8297601917197,ARB1984
25,21.991218556588503,ARB1985
26,14.029489884568601,ARB1986
27,17.925840770267104,ARB1987
28,17.1712200288148,ARB1988
29,24.2429723994027,ARB1989
30,24.3966505076462,ARB1990
31,20.50739568331,ARB1991
32,21.1521012592416,ARB1992
33,20.556241320257897,ARB1993
34,18.676486711313,ARB1994
35,19.4270002170192,ARB1995
36,22.6395294821636,ARB1996
37,19.5790654110062,ARB1997
38,13.112841259310999,ARB1998
39,16.8678202037101,ARB1999
40,26.357581871655107,ARB2000
41,21.6649626310877,ARB2001
42,20.882596981845698,ARB2002
43,23.9975646184415,ARB2003
44,29.396881245337802,ARB2004
45,36.1133596045083,ARB2005
46,36.750510844237,ARB2006
47,33.8865621538074,ARB2007
48,38.2880810670025,ARB2008
49,24.6688146854593,ARB2009
50,28.379153098391495,ARB2010
51,36.2355029766738,ARB2011
52,35.4683163698496,ARB2012
53,32.5110534646467,ARB2013
54,28.925438194500398,ARB2014
55,17.013161520246502,ARB2015
56,13.9905602698226,ARB2016
57,17.6512647532026,ARB2017
58,,ARB2018
59,,CSS1960
60,,CSS1961
61,,CSS1962
62,,CSS1963
63,,CSS1964
64,,CSS1965
65,,CSS1966
66,,CSS1967
67,,CSS1968
68,,CSS1969
69,6.5377945381012,CSS1970
70,6.12823797854184,CSS1971
71,7.102345249439349,CSS1972
72,8.12528893624548,CSS1973
73,20.001210526405497,CSS1974
74,16.321952378760802,CSS1975
75,16.661286559131902,CSS1976
76,14.7260460297542,CSS1977
77,15.8808757397404,CSS1978
78,25.825382399402102,CSS1979
79,19.421469881399695,CSS1980
80,17.0135255711138,CSS1981
81,8.990626525355449,CSS1982
82,9.12080524878873,CSS1983
83,10.1289272559401,CSS1984
84,9.647784683772393,CSS1985
85,6.23453061157824,CSS1986
86,6.817228510402808,CSS1987
87,5.348940584588282,CSS1988
88,7.38949910444499,CSS1989
89,8.59833928174319,CSS1990
90,6.50940455856646,CSS1991
91,6.32590731697404,CSS1992
92,5.51739713842175,CSS1993
93,5.07839003572591,CSS1994
94,4.396447649797939,CSS1995
95,5.11759366666562,CSS1996
96,3.94405758475721,CSS1997
97,2.53959046409848,CSS1998
98,3.15505243188474,CSS1999
99,4.65132192378906,CSS2000
100,3.80391043699781,CSS2001
101,3.75690685805214,CSS2002
102,4.3754918132093295,CSS2003
103,4.98774062927639,CSS2004
104,7.01183758661551,CSS2005
105,8.26568532565789,CSS2006
106,7.47855237515092,CSS2007
