Country,Year,NY.GDP.TOTL.RT.ZS
ARB,1960,
ARB,1961,
ARB,1962,
ARB,1963,
ARB,1964,
ARB,1965,
ARB,1966,
ARB,1967,
ARB,1968,
ARB,1969,
ARB,1970,13.3176894171076
ARB,1971,15.0525016213773
ARB,1972,16.8410696644093
ARB,1973,21.8752773084161
ARB,1974,49.0771341572123
ARB,1975,39.7145509289426
ARB,1976,39.8047080245234
ARB,1977,38.2296868434075
ARB,1978,34.4987675550165
ARB,1979,58.8554762607064
ARB,1980,52.2013078959925
ARB,1981,39.208999790269
ARB,1982,25.6020422745187
ARB,1983,25.4154576530028
ARB,1984,24.8297601917197
ARB,1985,21.9912185565885
ARB,1986,14.0294898845686
ARB,1987,17.9258407702671
ARB,1988,17.1712200288148
ARB,1989,24.2429723994027
ARB,1990,24.3966505076462
ARB,1991,20.50739568331
ARB,1992,21.1521012592416
ARB,1993,20.5562413202579
ARB,1994,18.676486711313
ARB,1995,19.4270002170192
ARB,1996,22.6395294821636
ARB,1997,19.5790654110062
ARB,1998,13.112841259311
ARB,1999,16.8678202037101
ARB,2000,26.3575818716551
ARB,2001,21.6649626310877
ARB,2002,20.8825969818457
ARB,2003,23.9975646184415
ARB,2004,29.3968812453378
ARB,2005,36.1133596045083
ARB,2006,36.750510844237
ARB,2007,33.8865621538074
ARB,2008,38.2880810670025
ARB,2009,24.6688146854593
ARB,2010,28.3791530983915
ARB,2011,36.2355029766738
ARB,2012,35.4683163698496
ARB,2013,32.5110534646467
ARB,2014,28.9254381945004
ARB,2015,17.0131615202465
ARB,2016,13.9905602698226
ARB,2017,17.6512647532026
ARB,2018,
CSS,1960,
CSS,1961,
CSS,1962,
CSS,1963,
CSS,1964,
CSS,1965,
CSS,1966,
CSS,1967,
CSS,1968,
CSS,1969,
CSS,1970,6.5377945381012
CSS,1971,6.12823797854184
CSS,1972,7.10234524943935
CSS,1973,8.12528893624548
CSS,1974,20.0012105264055
CSS,1975,16.3219523787608
CSS,1976,16.6612865591319
CSS,1977,14.7260460297542
CSS,1978,15.8808757397404
CSS,1979,25.8253823994021
CSS,1980,19.4214698813997
CSS,1981,17.0135255711138
CSS,1982,8.99062652535545
CSS,1983,9.12080524878873
CSS,1984,10.1289272559401
CSS,1985,9.64778468377239
CSS,1986,6.23453061157824
CSS,1987,6.81722851040281
CSS,1988,5.34894058458828
